STATIONS
488|Uhlířské Janovice,Mitrov|6|
489|Lužec n.Vlt.|5|
490|Průhonice,Hole|1|
491|Sedlec-Prčice,Malkovice|8|
492|Kobylnice,rozc.|8|
493|Jablonná|6|
494|Radnice Praha 6|P|
495|Horka I,Svobodná Ves,střed|8|
496|Bubovice|2|
497|Staňkovice,Smilovice,rozc.|5,6|
498|Touchovice u Loun|8|
499|Kolín,Bezovka|6|
500|Chlum|8|
501|Sídliště Řepy|0|
502|Hradištko,Kersko Hrabalova|4|
503|Čakov,Tatouňovice|5|
504|Kolín,Sadová|6|
505|Centrum Zahradní Město|P|
506|Lužná,Červený kříž|7|
507|K Žižkovu|P|
508|Na Tykačce|B|
509|Tlustice|6|
510|Nalžovice,Chlum,Škola|6|
511|Rožďalovice,Podlužany|8|
512|Dobšice,Libněves|8|
513|Olešná,rozc.Těně|-|
514|Postupice,Kopaniny|6|
515|Mladá Boleslav,nám.Republiky|7|
516|Budiměřice|5,6|
517|Benešov,Zapova|5|
518|Vižina|4|
519|Mezno|9|
520|Bezno|6|
521|Nymburk,V Kolonii|5|
522|Balkova Lhota,Černý les|-|
523|Březno u Postoloprt|-|
524|Kamýk n.Vlt.,u Mášů|8|
525|Ejpovice|-|
526|Svojetín|8|
527|Do Lipan|P|
528|Ždánice,rozc.Běšínov|5|
529|Postupice,Benešovská|6|
530|Říčany,Park A.Švehly|1|
531|Kublov|P|
532|Nemocnice Bulovka - onkologie|P|
533|Chotýšany,rozc.Pařezí|6|
534|Bečváry,žel.st.|5|
535|Nečín,Lipiny|7|
536|Strančice,Otice|1|
537|Kbelská|P|
538|Příbram,Čs.armády|7|
539|Vlkaneč,Přibyslavice,Kocanda rozc.|9|
540|Hrdlořezy,Přední důl|7|
541|Dunajecká|P|
542|Přístav Holešovice|P|
543|Sovákova|B|
544|Sedlčany,Novoměstská|7|
545|Prosečnice|4|
546|Pod Chodovem|P|
547|Kutná Hora,Sedlec,Čechova|7|
548|Miličín|8|
549|Oskořínek|6|
550|Karlínské náměstí|P|
551|Miřetice,rozc.|8|
552|Mělník,Poliklinika|4|
553|Radětice,Palivo|7|
554|Kostomlaty n.L.,rozcestí Vápensko|4|
555|Benešov,Jana Nohy|5|
556|Zásmuky,Ostrov|5|
557|Tismice,Na Kopečku|3|
558|Beroun,Pod Hřbitovem|4|
559|Obříství,Štěpánský most|3|
560|Svatá,Zelený kříž|5|
561|Jana Masaryka|P|
562|Strančice,žel.st.|1,2|
563|Donatellova|P|
564|Čenkov|6|
565|Ruda,u rybníka|6|
566|Ptýrov,Čihátka|8|
567|Milín,Buk|7|
568|Kralupy n.Vlt.,Lobeč|3|
569|Třebešice|6|
570|Malešická|P|
571|Škola Lipence|P|
572|Milíčov|P|
573|Přímské náměstí|P|
574|Jirny,Luční|1|
575|Spořilov|P|
576|Mutějovice,Perun|8|
577|Košťálov,Kundratice,střed|-|
578|Černošice,U Vodárny|1|
579|Nečín|7|
580|Libodřice|5|
581|Ostředek|4,5|
582|Brandýs n.L.-St.Bol.,Aut.st.|3|
583|Týnec n.Sáz.,Pecerady,Jednota|4|
584|Běštín,škola|5|
585|Štěchovická|P|
586|Bácovice,rozc.1.0|11|
587|Květnice|1|
588|Odb Zeleneč|-|
589|Křečkov|6|
590|Vozovna Kobylisy|P|
591|Říčanova|P|
592|Řevničov,Žel.st.|6|
593|Roudnice n.L.,Čihadla|7|
594|Cítoliby|7|
595|Žleby,nám.|9|
596|Teplýšovice,Smilov|5|
597|Úvaly,Hřbitov|1|
598|Kamenný Újezd,rozc.0.6|-|
599|Mladá Vožice,Noskov,rybník|9|
600|Čáslav,Hudební škola|8|
601|Michnovka|P|
602|Strenice,Podčejky|6|
603|Škola Řepy|P|
604|Sedlčany,Libíň,Klimětice|7|
605|Bělá p.Bezd.,Bezdědice|8|
606|Votice,Otradovice|7|
607|Dubá,Zakšín|7|
608|Řendějov,Jiřice|8|
609|Bílkovice,Takonín|6|
610|Mšecké Žehrovice,Lodenice,rybník|6|
611|Nušlova|P|
612|Rakovník,aut.st.|7|
613|Dobřichovice,Pošta|1|
614|Vlašim,Bolinka-hájovna|7|
615|Sídliště Rohožník|B|
616|Slapy,Na Polesí|4|
617|Staré Bohnice|P|
618|Jičíněves|11|
619|Dubá,Nedamov|8|
620|Polešovická|P|
621|Krymská|P|
622|Březno u P. km 1.200|-|
623|Česká Lípa,Borská|-|
624|Sídliště Lhotka|P|
625|Poříčany,Škola|4|
626|Stříbrná Skalice,Hrad.Střimelice|4|
627|Nová Ves I|6|
628|Hlavenec|4|
629|Rudná,Vypich|1,2|
630|Sídliště Krč|P|
631|Třebešín|P|
632|Doksy|10|
633|Mělník,Fibichova|4|
634|Vlašim,Domašín,u transformátoru|7|
635|Baně|P|
636|Říčany,Pacov,Březská rozc.|1|
